System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core7 (Socket 0)-EXEC,Core7 (Socket 0)-IPC,Core7 (Socket 0)-FREQ,Core7 (Socket 0)-AFREQ,Core7 (Socket 0)-L3MISS,Core7 (Socket 0)-L2MISS,Core7 (Socket 0)-L3HIT,Core7 (Socket 0)-L2HIT,Core7 (Socket 0)-L3MPI,Core7 (Socket 0)-L2MPI,Core7 (Socket 0)-L3OCC,Core7 (Socket 0)-C0res%,Core7 (Socket 0)-C1res%,Core7 (Socket 0)-C3res%,Core7 (Socket 0)-C6res%,Core7 (Socket 0)-C7res%,Core7 (Socket 0)-TEMP,Core7 (Socket 0)-INST,Core7 (Socket 0)-ACYC,Core7 (Socket 0)-TIME(ticks),Core7 (Socket 0)-PhysIPC,Core7 (Socket 0)-PhysIPC%,Core7 (Socket 0)-INSTnom,Core7 (Socket 0)-INSTnom%,-
2024-02-14,13:24:39.845,0.20,2.45,0.08,1.12,0.11,21.22,0.99,0.21,0.0000,0.0021, 13040,0.74,0.64,99,50,10304.99,4204.06,2599.92,4.90,122.56,0.40,9.91,0.04,1.55,0.03,1.22,0.03,2.94,0.99,0.39,0.0000,0.0013, 23680,0.46,0.02,96,44,2288.13,1474.17,2599.92,3.10,77.61,0.09,2.20,7.25,66.22,0.00,26.53,0.00,100.00,0.00,0.00,0.00,0.00,2.33,27.62,0.15,69.90,0.00,100.00,0.00,0.00,0.00,0.00,72.45,52.42,4.55 ,4.40 ,1424425.10 ,1442306.43 ,3.00,3.00,0.64,2.87,0.22,1.12,0.00,2.10,1.00,0.15,0.0000,0.0013,   480,19.95,80.05,0.00,0.00,0.00,53,1661.74,578.67,2599.92,5.74,143.58,1.28,31.96,
2024-02-14,13:24:40.845,0.20,2.42,0.08,1.12,0.13,21.90,0.99,0.21,0.0000,0.0021, 14840,0.73,0.64,99,47,10226.88,4229.56,2598.11,4.84,120.90,0.39,9.84,0.04,1.56,0.03,1.22,0.01,2.94,1.00,0.39,0.0000,0.0013, 23320,0.43,0.01,95,44,2291.27,1472.56,2598.11,3.11,77.80,0.09,2.20,7.30,66.23,0.03,26.44,0.00,100.00,0.00,0.00,0.00,0.00,2.33,27.63,0.11,69.93,0.00,100.00,0.00,0.00,0.00,0.00,72.36,52.42,4.56 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.63,2.85,0.22,1.12,0.00,2.18,1.00,0.15,0.0000,0.0013,   240,19.95,80.05,0.00,0.00,0.00,53,1648.33,578.16,2598.11,5.70,142.55,1.27,31.72,
2024-02-14,13:24:41.845,0.20,2.44,0.08,1.12,0.12,21.99,0.99,0.21,0.0000,0.0021, 15760,0.72,0.63,99,47,10250.87,4207.36,2597.93,4.87,121.82,0.39,9.86,0.04,1.56,0.03,1.22,0.01,2.99,1.00,0.39,0.0000,0.0013, 23000,0.41,0.01,96,44,2295.49,1472.27,2597.93,3.12,77.96,0.09,2.21,7.26,66.17,0.01,26.55,0.00,100.00,0.00,0.00,0.00,0.00,2.33,27.54,0.13,70.01,0.00,100.00,0.00,0.00,0.00,0.00,72.40,52.44,4.55 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.63,2.85,0.22,1.12,0.00,2.20,1.00,0.15,0.0000,0.0013,   120,19.96,80.04,0.00,0.00,0.00,53,1646.62,578.51,2597.93,5.69,142.32,1.27,31.69,
2024-02-14,13:24:42.846,0.20,2.43,0.08,1.12,0.12,22.09,0.99,0.21,0.0000,0.0022, 15960,0.72,0.62,99,48,10271.40,4226.28,2597.79,4.86,121.52,0.40,9.88,0.04,1.55,0.03,1.22,0.01,2.96,1.00,0.39,0.0000,0.0013, 23280,0.41,0.01,95,44,2297.96,1484.57,2597.79,3.10,77.39,0.09,2.21,7.29,66.13,0.01,26.57,0.00,100.00,0.00,0.00,0.00,0.00,2.35,27.54,0.15,69.97,0.00,100.00,0.00,0.00,0.00,0.00,72.45,52.48,4.56 ,4.38 ,495778.02 ,0.00 ,3.00,3.00,0.63,2.85,0.22,1.12,0.00,2.22,1.00,0.15,0.0000,0.0013,   200,19.97,80.03,0.00,0.00,0.00,52,1648.18,578.53,2597.79,5.70,142.45,1.27,31.72,
2024-02-14,13:24:43.846,0.20,2.45,0.08,1.12,0.12,22.26,0.99,0.20,0.0000,0.0022, 16720,0.71,0.62,99,49,10298.16,4210.01,2597.77,4.89,122.31,0.40,9.91,0.04,1.56,0.03,1.22,0.01,3.00,1.00,0.39,0.0000,0.0013, 22800,0.41,0.01,95,43,2289.74,1468.28,2597.77,3.12,77.97,0.09,2.20,7.26,66.35,0.02,26.37,0.00,100.00,0.00,0.00,0.00,0.00,2.32,27.60,0.13,69.95,0.00,100.00,0.00,0.00,0.00,0.00,72.64,52.51,4.56 ,4.39 ,0.00 ,0.33 ,3.00,3.00,0.63,2.85,0.22,1.12,0.00,2.25,1.00,0.15,0.0000,0.0014,   200,19.97,80.03,0.00,0.00,0.00,52,1648.52,578.65,2597.77,5.70,142.45,1.27,31.73,
2024-02-14,13:24:44.846,0.20,2.44,0.08,1.12,0.14,21.87,0.99,0.21,0.0000,0.0021, 16520,0.71,0.62,99,48,10377.59,4244.88,2597.73,4.89,122.24,0.40,9.99,0.04,1.53,0.03,1.21,0.03,3.13,0.99,0.39,0.0000,0.0014, 22960,0.43,0.01,95,43,2264.61,1477.86,2597.73,3.06,76.62,0.09,2.18,7.32,66.67,0.07,25.93,0.00,100.00,0.00,0.00,0.00,0.00,2.34,28.26,0.17,69.23,0.00,100.00,0.00,0.00,0.00,0.00,72.64,52.66,4.54 ,4.40 ,0.33 ,0.30 ,3.00,3.00,0.64,2.86,0.22,1.12,0.00,2.20,1.00,0.15,0.0000,0.0013,    80,20.01,79.99,0.00,0.00,0.00,52,1659.55,579.70,2597.73,5.73,143.14,1.28,31.94,
2024-02-14,13:24:45.847,0.20,2.45,0.08,1.12,0.13,22.46,0.99,0.21,0.0000,0.0022, 17760,0.70,0.61,99,48,10353.68,4228.72,2598.39,4.90,122.42,0.40,9.96,0.04,1.55,0.03,1.22,0.02,3.13,0.99,0.39,0.0000,0.0014, 23160,0.43,0.01,95,42,2291.86,1476.78,2598.39,3.10,77.60,0.09,2.21,7.30,66.38,0.02,26.30,0.00,100.00,0.00,0.00,0.00,0.00,2.34,27.53,0.14,70.00,0.00,100.00,0.00,0.00,0.00,0.00,72.67,52.56,4.55 ,4.39 ,0.23 ,0.33 ,3.00,3.00,0.64,2.84,0.22,1.12,0.00,2.28,1.00,0.15,0.0000,0.0014,   200,20.02,79.98,0.00,0.00,0.00,52,1650.09,580.12,2598.39,5.69,142.22,1.27,31.75,
2024-02-14,13:24:46.847,0.20,2.34,0.09,1.12,0.18,22.50,0.99,0.21,0.0000,0.0022, 18800,0.69,0.63,97,48,10343.94,4427.90,2597.33,4.67,116.80,0.40,9.96,0.04,1.28,0.03,1.19,0.14,3.83,0.96,0.40,0.0001,0.0017, 22840,0.52,0.05,91,43,2259.47,1758.70,2597.33,2.57,64.24,0.09,2.17,7.64,67.56,0.12,24.68,0.00,100.00,0.00,0.00,0.00,0.00,2.85,32.10,0.20,64.85,0.00,100.00,0.00,0.00,0.00,0.00,73.18,53.85,4.53 ,4.44 ,0.27 ,0.33 ,3.00,3.00,0.65,2.90,0.22,1.12,0.00,2.26,1.00,0.15,0.0000,0.0013,   160,20.03,79.97,0.00,0.00,0.00,52,1679.68,580.18,2597.33,5.79,144.76,1.29,32.33,
2024-02-14,13:24:47.847,0.21,2.54,0.08,1.12,0.09,24.00,1.00,0.20,0.0000,0.0022, 18520,0.63,0.58,99,47,10676.30,4209.16,2597.67,5.07,126.82,0.41,10.27,0.04,1.55,0.03,1.22,0.02,3.10,0.99,0.39,0.0000,0.0013, 22320,0.44,0.01,96,43,2297.91,1478.85,2597.67,3.11,77.69,0.09,2.21,7.26,66.09,0.01,26.64,0.00,100.00,0.00,0.00,0.00,0.00,2.34,27.49,0.17,70.00,0.00,100.00,0.00,0.00,0.00,0.00,73.10,52.63,4.51 ,4.39 ,0.27 ,0.33 ,3.00,3.00,0.64,2.87,0.22,1.12,0.00,2.55,1.00,0.16,0.0000,0.0015,   240,20.03,79.97,0.00,0.00,0.00,52,1666.72,580.33,2597.67,5.74,143.60,1.28,32.08,
2024-02-14,13:24:48.847,0.20,2.51,0.08,1.12,0.12,23.80,1.00,0.21,0.0000,0.0022, 19280,0.64,0.59,99,46,10638.87,4239.25,2597.58,5.02,125.48,0.41,10.24,0.04,1.55,0.03,1.22,0.02,3.04,0.99,0.39,0.0000,0.0013, 22560,0.43,0.01,95,43,2299.22,1482.26,2597.58,3.10,77.56,0.09,2.21,7.32,66.20,0.01,26.47,0.00,100.00,0.00,0.00,0.00,0.00,2.34,27.52,0.13,70.01,0.00,100.00,0.00,0.00,0.00,0.00,73.13,52.69,4.52 ,4.39 ,0.27 ,0.33 ,3.00,3.00,0.64,2.87,0.22,1.12,0.00,2.51,1.00,0.16,0.0000,0.0015,   240,20.06,79.94,0.00,0.00,0.00,51,1666.87,581.05,2597.58,5.74,143.44,1.28,32.09,
